species,run,first_release_date,last_release_date,year,mon1,mon2,day1,day2,total,len_num,wt_len,release_stage,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,release_location_name,release_location_state,areaName,area
1,2,19850923,19850928,1985,9,9,23,28,62885,0,0,F,,5000,50243,,,0,2288,5000,354,R-Kispiox R,BC,Bccoast,6
1,2,19850515,19850516,1985,5,5,15,16,50017,0,0,S,,5000,39897,,,5000,120,,,R-Kispiox R,BC,Bccoast,6
1,2,199205,199205,1992,5,5,,,178390,0,0,F,,5000,156630,,,0,11226,5000,534,R-Kitsum Bel Canyon,BC,Bccoast,6
1,1,19850507,19850522,1985,5,5,7,22,1523716,0,0,S,,5000,49003,,,0,1462403,5000,2310,R-Kitimat R Low,BC,Bccoast,6
1,1,198505,19850513,1985,5,5,,13,112056,0,0,S,,5000,49712,,,0,50000,5000,2344,R-Kitimat R Low,BC,Bccoast,6
1,1,198505,19850522,1985,5,5,,22,70222,0,0,S,,5000,49765,,,0,8112,5000,2345,R-Hirsch Cr,BC,Bccoast,6
1,1,19850509,19850510,1985,5,5,9,10,155591,0,0,S,,5000,49445,,,0,93815,5000,2331,R-Kildala R,BC,Bccoast,6
1,2,198505,19850516,1985,5,5,,16,285179,0,0,F,,5000,48646,,,0,224606,5000,1927,R-Atnarko R Low,BC,Bccoast,6
1,2,198505,19850517,1985,5,5,,17,212718,0,0,F,,5000,51192,,,0,149813,5000,1713,R-Atnarko R Low,BC,Bccoast,6
1,2,198505,19850528,1985,5,5,,28,254402,0,0,S,,5000,51638,,,0,190944,5000,1820,R-Atnarko R Low,BC,Bccoast,6
1,2,198505,19850529,1985,5,5,,29,145408,0,0,F,,5000,51672,,,0,81978,5000,1758,R-Atnarko R Low,BC,Bccoast,6
1,2,199405,19940519,1994,5,5,,19,70576,70576,5646080,S,80,5000,55065,,,0,3808,5000,1703,R-Chuckwalla R,BC,Bccoast,6
1,2,198506,19850606,1985,6,6,,6,110397,0,0,F,,5000,80731,,,0,16794,5000,2872,R-Wannock R,BC,Bccoast,6
1,2,198505,19850528,1985,5,5,,28,36146,0,0,F,,5000,25937,,,5000,209,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,198505,19850501,1985,5,5,,1,36409,0,0,F,,5000,26198,,,5000,211,,,R-Deep Cr/SKNA,BC,Bccoast,6
1,2,198505,19850501,1985,5,5,,1,36161,0,0,F,,5000,25978,,,5000,183,,,R-Deep Cr/SKNA,BC,Bccoast,6
1,2,198505,19850506,1985,5,5,,6,36466,0,0,F,,5000,26373,,,5000,93,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,198505,19850528,1985,5,5,,28,36071,0,0,F,,5000,25980,,,5000,91,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,198505,19850506,1985,5,5,,6,31376,0,0,F,,5000,26376,,,,,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,198505,19850507,1985,5,5,,7,31509,0,0,F,,5000,26509,,,,,,,R-Deep Cr/SKNA,BC,Bccoast,6
1,2,198505,19850507,1985,5,5,,7,31171,0,0,F,,5000,24512,,,0,1659,,,R-Deep Cr/SKNA,BC,Bccoast,6
1,1,19860513,19860517,1986,5,5,13,17,320649,0,0,S,,5000,25368,,,0,284921,5000,360,R-Kitimat R Low,BC,Bccoast,6
1,1,19860513,19860517,1986,5,5,13,17,350328,0,0,S,,5000,27791,,,0,312142,5000,395,R-Kitimat R Low,BC,Bccoast,6
1,1,19860513,19860517,1986,5,5,13,17,334993,0,0,S,,5000,26539,,,0,298077,5000,377,R-Kitimat R Low,BC,Bccoast,6
1,1,198605,19860520,1986,5,5,,20,67732,0,0,S,,5000,26821,,,0,30586,5000,325,R-Hirsch Cr,BC,Bccoast,6
